"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF"
"USC00305426","MOHONK LAKE, NY US","2020-08-01",,,,"0.0","0.0","88","64","88",,
"USC00305426","MOHONK LAKE, NY US","2020-08-02",,,,"0.0","0.0","88","71","85",,
"USC00305426","MOHONK LAKE, NY US","2020-08-03",,,,"0.0","0.0","85","70","85",,
"USC00305426","MOHONK LAKE, NY US","2020-08-04",,,,"0.0","0.0","85","68","70",,
"USC00305426","MOHONK LAKE, NY US","2020-08-05",,,,"0.0","0.0","82","65","81",,
"USC00305426","MOHONK LAKE, NY US","2020-08-06",,,,"0.0","0.0","81","60","79",,
"USC00305426","MOHONK LAKE, NY US","2020-08-07",,,,"0.0","0.0","79","64","76",,
"USC00305426","MOHONK LAKE, NY US","2020-08-08",,,,"0.0","0.0","83","63","83",,
"USC00305426","MOHONK LAKE, NY US","2020-08-09",,,,"0.0","0.0","86","69","86",,
"USC00305426","MOHONK LAKE, NY US","2020-08-10",,,,"0.0","0.0","88","70","88",,
"USC00305426","MOHONK LAKE, NY US","2020-08-11",,,,"0.0","0.0","89","70","89",,
"USC00305426","MOHONK LAKE, NY US","2020-08-12",,,,"0.0","0.0","89","69","83",,
"USC00305426","MOHONK LAKE, NY US","2020-08-13",,,,"0.0","0.0","83","66","80",,
"USC00305426","MOHONK LAKE, NY US","2020-08-14",,,,"0.0","0.0","84","63","84",,
"USC00305426","MOHONK LAKE, NY US","2020-08-15",,,,"0.0","0.0","84","66","79",,
"USC00305426","MOHONK LAKE, NY US","2020-08-16",,,,"0.0","0.0","79","63","66",,
"USC00305426","MOHONK LAKE, NY US","2020-08-17",,,,"0.0","0.0","78","63","78",,
"USC00305426","MOHONK LAKE, NY US","2020-08-18",,,,"0.0","0.0","79","58","79",,
"USC00305426","MOHONK LAKE, NY US","2020-08-19",,,,"0.0","0.0","79","58","77",,
"USC00305426","MOHONK LAKE, NY US","2020-08-20",,,,"0.0","0.0","77","54","77",,
"USC00305426","MOHONK LAKE, NY US","2020-08-21",,,,"0.0","0.0","84","62","84",,
"USC00305426","MOHONK LAKE, NY US","2020-08-22",,,,"0.0","0.0","89","64","88",,
"USC00305426","MOHONK LAKE, NY US","2020-08-23",,,,"0.0","0.0","88","67","87",,
"USC00305426","MOHONK LAKE, NY US","2020-08-24",,,,"0.0","0.0","90","70","89",,
"USC00305426","MOHONK LAKE, NY US","2020-08-25",,,,"0.0","0.0","89","69","83",,
"USC00305426","MOHONK LAKE, NY US","2020-08-26",,,,"0.0","0.0","83","57","76",,
"USC00305426","MOHONK LAKE, NY US","2020-08-27",,,,"0.0","0.0","85","61","72",,
"USC00305426","MOHONK LAKE, NY US","2020-08-28",,,,"0.0","0.0","80","65","80",,
"USC00305426","MOHONK LAKE, NY US","2020-08-29",,,,"0.0","0.0","80","66","79",,
"USC00305426","MOHONK LAKE, NY US","2020-08-30",,,,"0.0","0.0","79","60","74",,
"USC00305426","MOHONK LAKE, NY US","2020-08-31",,,,"0.0","0.0","74","53","72",,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-01",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-02",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-03",,,"0.47",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-04",,,"0.19",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-05",,,"1.61",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-06",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-07",,,"0.05",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-08",,,"0.09",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-10",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-11",,,"0.71",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-12",,,"0.20",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-13",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-14",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-15",,,"0.06",,,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-16",,,"0.00","0.0",,,,,,
"US1NYUL0020","ULSTER PARK 0.9 NNW, NY US","2020-08-17",,,"0.06",,,,,,,
