-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data,,,,,,,,,,,
Dates (month/day/year): 08/01/2020 through 02/25/2021,,,,,,,,,,,
Location: Latitude  41.7745   Longitude -74.2773,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 339.04 meters   Site = na,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov),,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999,,,,,,,,,,,
Parameter(s):,,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C),,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C),,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C),,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C),,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C),,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C),,,,,,,,,,,
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C),,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
41.77451,-74.27729,2020,8,1,14.37,24.58,15.59,15.42,31.2,16.83,24.66
41.77451,-74.27729,2020,8,2,8.73,24.33,20.65,20.57,28.83,20.11,24.3
41.77451,-74.27729,2020,8,3,10.66,24.39,16.23,16.03,30.16,19.5,24.56
41.77451,-74.27729,2020,8,4,5.2,21.13,20.19,20.17,23.65,18.45,21.14
41.77451,-74.27729,2020,8,5,10.1,20.91,16.51,16.4,26.28,16.19,21.01
41.77451,-74.27729,2020,8,6,11.38,20.01,15.5,15.33,25.66,14.28,20.36
41.77451,-74.27729,2020,8,7,8.03,19.69,16.74,16.63,24.33,16.29,19.86
41.77451,-74.27729,2020,8,8,10.34,22.15,17.94,17.84,27.47,17.13,22.21
41.77451,-74.27729,2020,8,9,12.16,22.61,17.75,17.66,28.64,16.47,22.58
